		Filename	Accession	Sample ID	Family ID	Population Abbreviation	Population Descriptor	Biosample Accession	Platform	Instrument Model	Basecaller	Basecaller Model	Basecaller Version	Bioproject Accession	CCS Algorithm	Filetype	Generator Contact	Generator Facility	Library Source	Library Strategy	MM Tag	N50	100kb+	Path	Study	Total Gbp	Total Reads	Whales
		m54329U_200217_055345.ccs.bam	SRR13684287	HG02559	Unspecified	ACB	African Caribbean in Barbados	SAMN17861239	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	20412	N/A	s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200217_055345.ccs.bam	SRP305758	32.26	1575697	N/A
		m54329U_200219_181523.ccs.bam	SRR13684287	HG02559	Unspecified	ACB	African Caribbean in Barbados	SAMN17861239	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	20318	N/A	s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200219_181523.ccs.bam	SRP305758	31.28	1535338	N/A
		m54329U_200306_185930.ccs.bam	SRR13684282	HG01361	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861235	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	20039	N/A	s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200306_185930.ccs.bam	SRP305758	33.29	1662447	N/A
		m54329U_200308_194417.ccs.bam	SRR13684282	HG01361	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861235	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	19909	N/A	s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200308_194417.ccs.bam	SRP305758	33.24	1670892	N/A
		m54329U_200310_015838.ccs.bam	SRR13684282	HG01361	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861235	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	20151	N/A	s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200310_015838.ccs.bam	SRP305758	28.42	1411365	N/A
		m54329U_200311_082605.ccs.bam	SRR13684282	HG01361	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861235	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	20101	N/A	s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200311_082605.ccs.bam	SRP305758	28.28	1408346	N/A
		m54329U_200313_161638.ccs.bam	SRR13684277	HG02486	Unspecified	ACB	African Caribbean in Barbados	SAMN17861238	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18345	N/A	s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200313_161638.ccs.bam	SRP305758	26.98	1472019	N/A
		m54329U_200315_215927.ccs.bam	SRR13684277	HG02486	Unspecified	ACB	African Caribbean in Barbados	SAMN17861238	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18321	N/A	s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200315_215927.ccs.bam	SRP305758	27.66	1511142	N/A
		m54329U_200317_041347.ccs.bam	SRR13684277	HG02486	Unspecified	ACB	African Caribbean in Barbados	SAMN17861238	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18464	N/A	s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200317_041347.ccs.bam	SRP305758	23.86	1293270	N/A
		m54329U_200319_002813.ccs.bam	SRR13684286	HG02572	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861240	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	20106	N/A	s3://human-pangenomics/working/HPRC/HG02572/raw_data/PacBio_HiFi/m54329U_200319_002813.ccs.bam	SRP305758	25.59	1274460	N/A
		m54329U_200320_213710.ccs.bam	SRR13684277	HG02486	Unspecified	ACB	African Caribbean in Barbados	SAMN17861238	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18381	N/A	s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200320_213710.ccs.bam	SRP305758	26.33	1433701	N/A
		m54329U_200610_234222.ccs.bam	SRR13684285	HG03516	Unspecified	ESN	Esan in Nigeria	SAMN17861241	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18511	N/A	s3://human-pangenomics/working/HPRC/HG03516/raw_data/PacBio_HiFi/m54329U_200610_234222.ccs.bam	SRP305758	33.01	1776238	N/A
		m54329U_200612_200443.ccs.bam	SRR13684285	HG03516	Unspecified	ESN	Esan in Nigeria	SAMN17861241	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18686	N/A	s3://human-pangenomics/working/HPRC/HG03516/raw_data/PacBio_HiFi/m54329U_200612_200443.ccs.bam	SRP305758	32.63	1737663	N/A
		m54329U_200614_021746.ccs.bam	SRR13684285	HG03516	Unspecified	ESN	Esan in Nigeria	SAMN17861241	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	19030	N/A	s3://human-pangenomics/working/HPRC/HG03516/raw_data/PacBio_HiFi/m54329U_200614_021746.ccs.bam	SRP305758	20.66	1080637	N/A
		m54329U_200615_084313.ccs.bam	SRR13684285	HG03516	Unspecified	ESN	Esan in Nigeria	SAMN17861241	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	18537	N/A	s3://human-pangenomics/working/HPRC/HG03516/raw_data/PacBio_HiFi/m54329U_200615_084313.ccs.bam	SRP305758	23.95	1288191	N/A
		m64043_200403_163826.ccs.bam	SRR13684388	HG02717	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861666	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	16669	N/A	s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200403_163826.ccs.bam	SRP305758	36.34	2131662	N/A
		m64043_200405_180950.ccs.bam	SRR13684388	HG02717	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861666	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	16776	N/A	s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200405_180950.ccs.bam	SRP305758	34.32	2001329	N/A
		m64043_200407_002219.ccs.bam	SRR13684388	HG02717	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861666	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	16818	N/A	s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200407_002219.ccs.bam	SRP305758	34.81	2024928	N/A
		m64043_200408_064651.ccs.bam	SRR13684388	HG02717	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861666	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	16748	N/A	s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200408_064651.ccs.bam	SRP305758	34.82	2032542	N/A
		m64043_200410_214826.ccs.bam	SRR13684387	HG02886	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861667	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	17391	N/A	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200410_214826.ccs.bam	SRP305758	34.1	1929448	N/A
		m64043_200412_040054.ccs.bam	SRR13684387	HG02886	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861667	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	17504	N/A	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200412_040054.ccs.bam	SRP305758	35.97	2021284	N/A
		m64043_200413_102554.ccs.bam	SRR13684387	HG02886	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861667	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	17984	N/A	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200413_102554.ccs.bam	SRP305758	33.57	1836728	N/A
		m64043_200414_165107.ccs.bam	SRR13684387	HG02886	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861667	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	17657	N/A	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200414_165107.ccs.bam	SRP305758	33.76	1880255	N/A
		m64043_200501_162248.ccs.bam	SRR13684389	HG02630	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861665	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	18935	N/A	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200501_162248.ccs.bam	SRP305758	39.4	2075445	N/A
		m64043_200502_223511.ccs.bam	SRR13684389	HG02630	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861665	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19449	N/A	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200502_223511.ccs.bam	SRP305758	37.43	1921608	N/A
		m64043_200504_050026.ccs.bam	SRR13684389	HG02630	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861665	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19260	N/A	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200504_050026.ccs.bam	SRP305758	37.59	1947611	N/A
		m64043_200505_112554.ccs.bam	SRR13684389	HG02630	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861665	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19165	N/A	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200505_112554.ccs.bam	SRP305758	36.59	1904474	N/A
		m64043_200508_172634.ccs.bam	SRR13684386	HG03453	Unspecified	MSL	Mende in Sierra Leone	SAMN17861668	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19851	N/A	s3://human-pangenomics/working/HPRC/HG03453/raw_data/PacBio_HiFi/m64043_200508_172634.ccs.bam	SRP305758	40.65	2021670	N/A
		m64043_200509_233929.ccs.bam	SRR13684386	HG03453	Unspecified	MSL	Mende in Sierra Leone	SAMN17861668	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19864	N/A	s3://human-pangenomics/working/HPRC/HG03453/raw_data/PacBio_HiFi/m64043_200509_233929.ccs.bam	SRP305758	41.59	2067165	N/A
		m64043_200511_060458.ccs.bam	SRR13684386	HG03453	Unspecified	MSL	Mende in Sierra Leone	SAMN17861668	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19810	N/A	s3://human-pangenomics/working/HPRC/HG03453/raw_data/PacBio_HiFi/m64043_200511_060458.ccs.bam	SRP305758	39.53	1969769	N/A
		m64043_200512_123035.ccs.bam	SRR13684386	HG03453	Unspecified	MSL	Mende in Sierra Leone	SAMN17861668	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	20011	N/A	s3://human-pangenomics/working/HPRC/HG03453/raw_data/PacBio_HiFi/m64043_200512_123035.ccs.bam	SRP305758	38.49	1900582	N/A
		m64043_200515_165406.ccs.bam	SRR13684383	HG03579	Unspecified	MSL	Mende in Sierra Leone	SAMN17861671	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19426	N/A	s3://human-pangenomics/working/HPRC/HG03579/raw_data/PacBio_HiFi/m64043_200515_165406.ccs.bam	SRP305758	33.33	1705389	N/A
		m64043_200516_230634.ccs.bam	SRR13684383	HG03579	Unspecified	MSL	Mende in Sierra Leone	SAMN17861671	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19522	N/A	s3://human-pangenomics/working/HPRC/HG03579/raw_data/PacBio_HiFi/m64043_200516_230634.ccs.bam	SRP305758	39.28	1996694	N/A
		m64043_200518_053124.ccs.bam	SRR13684383	HG03579	Unspecified	MSL	Mende in Sierra Leone	SAMN17861671	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19337	N/A	s3://human-pangenomics/working/HPRC/HG03579/raw_data/PacBio_HiFi/m64043_200518_053124.ccs.bam	SRP305758	39.17	2010535	N/A
		m64043_200519_115622.ccs.bam	SRR13684383	HG03579	Unspecified	MSL	Mende in Sierra Leone	SAMN17861671	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19348	N/A	s3://human-pangenomics/working/HPRC/HG03579/raw_data/PacBio_HiFi/m64043_200519_115622.ccs.bam	SRP305758	38.22	1960652	N/A
		m64043_200521_171703.ccs.bam	SRR13684384	HG03540	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861670	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	20457	N/A	s3://human-pangenomics/working/HPRC/HG03540/raw_data/PacBio_HiFi/m64043_200521_171703.ccs.bam	SRP305758	39.3	1897441	N/A
		m64043_200522_232930.ccs.bam	SRR13684384	HG03540	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861670	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	20429	N/A	s3://human-pangenomics/working/HPRC/HG03540/raw_data/PacBio_HiFi/m64043_200522_232930.ccs.bam	SRP305758	38.06	1839904	N/A
		m64043_200524_055430.ccs.bam	SRR13684384	HG03540	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861670	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	20527	N/A	s3://human-pangenomics/working/HPRC/HG03540/raw_data/PacBio_HiFi/m64043_200524_055430.ccs.bam	SRP305758	38.6	1857442	N/A
		m64043_200525_121851.ccs.bam	SRR13684384	HG03540	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861670	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	20701	N/A	s3://human-pangenomics/working/HPRC/HG03540/raw_data/PacBio_HiFi/m64043_200525_121851.ccs.bam	SRP305758	37.45	1788752	N/A
		m64043_200530_164723.ccs.bam	SRR13684390	HG02622	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861664	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	22892	N/A	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200530_164723.ccs.bam	SRP305758	37.23	1610050	N/A
		m64043_200601_191521.ccs.bam	SRR13684390	HG02622	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861664	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	23109	N/A	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200601_191521.ccs.bam	SRP305758	36.9	1582321	N/A
		m64043_200603_012738.ccs.bam	SRR13684390	HG02622	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861664	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	22740	N/A	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200603_012738.ccs.bam	SRP305758	35.16	1530497	N/A
		m64043_200604_075218.ccs.bam	SRR13684390	HG02622	Unspecified	GWD	Gambian in Western Division Ð Mandinka	SAMN17861664	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	22784	N/A	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200604_075218.ccs.bam	SRP305758	34.7	1507617	N/A
		m64043_200606_175618.ccs.bam	SRR13684385	HG03471	Unspecified	MSL	Mende in Sierra Leone	SAMN17861669	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19140	N/A	s3://human-pangenomics/working/HPRC/HG03471/raw_data/PacBio_HiFi/m64043_200606_175618.ccs.bam	SRP305758	40.47	2102995	N/A
		m64043_200608_185843.ccs.bam	SRR13684385	HG03471	Unspecified	MSL	Mende in Sierra Leone	SAMN17861669	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19223	N/A	s3://human-pangenomics/working/HPRC/HG03471/raw_data/PacBio_HiFi/m64043_200608_185843.ccs.bam	SRP305758	39.51	2045451	N/A
		m64043_200610_011156.ccs.bam	SRR13684385	HG03471	Unspecified	MSL	Mende in Sierra Leone	SAMN17861669	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19270	N/A	s3://human-pangenomics/working/HPRC/HG03471/raw_data/PacBio_HiFi/m64043_200610_011156.ccs.bam	SRP305758	39.85	2058511	N/A
		m64043_200611_073649.ccs.bam	SRR13684385	HG03471	Unspecified	MSL	Mende in Sierra Leone	SAMN17861669	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	19219	N/A	s3://human-pangenomics/working/HPRC/HG03471/raw_data/PacBio_HiFi/m64043_200611_073649.ccs.bam	SRP305758	37.35	1933742	N/A
		m64043_200612_200936.ccs.bam	SRR13684376	HG01928	Unspecified	PEL	Peruvian in Lima, Peru	SAMN17861660	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	23667	N/A	s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m64043_200612_200936.ccs.bam	SRP305758	28.48	1206871	N/A
		m64043_200614_191756.ccs.bam	SRR13684376	HG01928	Unspecified	PEL	Peruvian in Lima, Peru	SAMN17861660	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	23521	N/A	s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m64043_200614_191756.ccs.bam	SRP305758	27.53	1174204	N/A
		m64043_200616_013031.ccs.bam	SRR13684376	HG01928	Unspecified	PEL	Peruvian in Lima, Peru	SAMN17861660	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	23565	N/A	s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m64043_200616_013031.ccs.bam	SRP305758	25.23	1073649	N/A
		m64043_200617_075530.ccs.bam	SRR13684376	HG01928	Unspecified	PEL	Peruvian in Lima, Peru	SAMN17861660	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	8.0.0	bam	tgraves@wustl.edu	Washington University	GENOMIC	WGS	false	23677	N/A	s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m64043_200617_075530.ccs.bam	SRP305758	27.66	1171348	N/A
